t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
69,1.0,0.824743000764654,0.3650033684265697,0.7857142857142857,0.2962634514466053,B,B,0.10932534356580949,0.8906746564341904,0.6011745117041111,2.698825488295889
70,-0.5,0.7585058507264213,0.356353334742304,0.7746478873239436,0.29619029159779614,A,B,0.15752105584467035,0.8424789441553296,0.8116052337096077,2.4883947662903925
71,1.0,0.7705805581901002,0.362789801394881,0.7777777777777778,0.29611125504925173,B,B,0.10926772470358521,0.8907322752964147,0.6008785775034015,2.6991214224965985
72,-0.5,0.7070515302805951,0.3541619033809322,0.7671232876712328,0.2960372360527168,A,B,0.10943342174083105,0.890566578259169,0.6017292393702358,2.698270760629764
73,1.0,0.7216989537665653,0.36062028434712284,0.7702702702702703,0.2959638460247198,B,B,0.10921119279428058,0.8907888072057194,0.600588092874578,2.699411907125422
74,1.0,0.7356140060782371,0.3670140815036516,0.7733333333333333,0.2958855465904402,B,B,0.1093776284676288,0.8906223715323712,0.6014429319511474,2.6985570680488524
75,-0.5,0.6738333057743252,0.3583439406886151,0.7631578947368421,0.29580397600924896,A,B,0.10954188692200878,0.8904581130779912,0.6022854704937182,2.697714529506282
76,1.0,0.690141640485609,0.36476050128172893,0.7662337662337663,0.2957195043741893,B,B,0.1093190247833792,0.8906809752166208,0.6011420647099291,2.6988579352900706
77,1.0,0.7056345584613286,0.37111289626891164,0.7692307692307693,0.2956351792686947,B,B,0.32741798788381204,0.6725820121161881,1.290056774948615,2.009943225051385
78,1.0,0.7203528305382622,0.37740176730622255,0.7721518987341772,0.2955491227445762,B,B,0.15773422001639567,0.8422657799836044,0.8124079236022616,2.487592076397738
79,-0.5,0.659335189011349,0.3686277496331603,0.7625,0.29547048997037373,B,A,0.3192111325605094,0.6807888674394905,1.2713002582296893,2.0286997417703105
80,-0.5,0.6013684295607815,0.3599414721368287,0.7530864197530864,0.2953918068135081,B,A,0.1062470879619489,0.8937529120380512,0.5851690238923408,2.7148309761076588
81,1.0,0.6213000080827424,0.36634205741546044,0.7560975609756098,0.2953135262483537,A,A,0.17059806135768849,0.8294019386423116,0.8593026930544583,2.4406973069455415
82,-0.5,0.5652350076786052,0.35767863684130585,0.7469879518072289,0.29523920850944674,B,A,0.10619004584185653,0.8938099541581435,0.5848686003891578,2.715131399610842
83,-0.5,0.5119732572946749,0.34910185047289277,0.7380952380952381,0.2951709570724217,B,A,0.10597325880203896,0.894026741197961,0.5837255501260469,2.716274449873953
84,-0.5,0.4613745944299411,0.34061083196816383,0.7294117647058823,0.2951112844082111,B,A,0.10575775385574845,0.8942422461442515,0.5825872152209391,2.717412784779061
85,-0.5,0.413305864708444,0.3322047236484822,0.7209302325581395,0.2950543777218658,B,A,0.10554356242437467,0.8944564375756252,0.5814537901047904,2.7185462098952096
86,1.0,0.44264057147302177,0.3388826764119974,0.7241379310344828,0.29499272503581586,A,A,0.31661236719739716,0.6833876328026028,1.2653079831349703,2.03469201686503
87,-0.5,0.39550854289937065,0.33049384964787737,0.7159090909090909,0.2949361072643084,B,A,0.1054998684366501,0.8945001315633498,0.581222327920143,2.718777672079857
88,-0.5,0.3507331157544021,0.3221889111513986,0.7078651685393258,0.294888574426674,B,A,0.1052872990421985,0.8947127009578016,0.5800950663782344,2.7199049336217653
